korean,english
나는 지금 서울에 가고 있습니다,I am going now to Seoul (Formal)
나가 줄까요?,Do you want me to go out? (Standard)
무리해요,To be overworked (Present Tense)
이상해요,To be strange (Present Tense)
까먹어요,To forget (Present Tense)
혹시,"Maybe, perhaps"
헤어져요,To break up (Present Tense)
나 밥 사 줘!,Buy me food!
내일 전화해 주세요!,Please give me a call tomorrow!
도와줘요,To help (Present Tense)
남겨요,"To leave (a comment, food) (Present Tense)"
들어가요,"To enter, to go into (Present Tense)"
등,Back (of the body)
어깨,Shoulder
팔,Arm
다리,Leg
곧,"Soon, shortly"
잔소리 하지 마!,Stop nagging (me)!
귀찮게하지 마세요!,Stop bothering (me)!
걱정하지 마세요!,Don't worry!
열심히,Hard
계속,Continuously
당분간 ...,For the time being ...
일찍,Early
저는 공부해요,I study (in general)
저는 공부하고 있어요,I am studying (right now)
기계,Machine
어제 먹은 피자 너무 맛있었어요,The pizza I ate yesterday was delicious (Adnominal Suffix Past Tense)
날마다 먹는 음식이 지겨워요,I'm tired of the food I eat everyday (Adnominal Suffix Present Tense)
이건 내일 아침에 먹을 빵이에요,This is the bread I will eat tomorrow (Adnominal Suffix Future Tense)
식구,Family member
형제,Brothers
언니,Older sister
여동생,Younger sister
자매,Sisters
저희,We (humbling)
우리 아빠 몇 살이에요?,How old is our father?
내 방이 집에서 제일 커,My room is the biggest in the house
너는 친구 몇 명 있어요?,How many friends do you have?
저는 친구 두 명 있어요,I have 2 friends
가적이 몇 명 이세요?,How many people are in your family?
개,Dog
소,Cow
고양이,Cat
버전,Version
출시,Release (SW)
단말,Device / Terminal
자동차,Car
기념일,Anniversary
준비해요,To prepare (Present Tense)
겨우,With difficulty
코멘트 세 줄 써 주세요,Please write a comment in three lines
주문해요,To order (Present Tense)
저는 컴퓨터 열 대 주문하고 싶어,I want to order ten computers
나무,Wood / Tree
정원,Garden
벽,Wall
이번 달,This month
지난 달,Last month
다음 달,Next month
일주일,One week
이주,Two weeks
삼주,Three weeks
멀어요,To be far (Present Tense)
대회,Competition
중요해요,To be important (Present Tense)
뛰어요,To run (Present Tense)
몇 번 ...?,How many times ...?
참가해요,To participate (Present Tense)
다음 주부터 오지 마세요!,"From next week, don't come!"
더러워요,To be dirty (Present Tense)
알고 싶어요!,(I) want to know!
지금 나가야 해요!,(I) have to go now!
조용히,Quietly
하교에 갈 데 같이 가자!,"When you go to school, let's go together!"
공부할 데 음악을 들어요,"When I study, I listen to music"
챙겨요,To take / To not forget (Present Tense)
열쇠,Key
연락해요,To contact / To keep in touch (Present Tense)
자주,Often / Frequently
돌아와요,To come back (Present Tense)
군대,Army / Military
유학해요,To study abroad (Present Tense)
신용카드,Credit Card
힘내!,Cheer up!
여행,Trip
설마,Impossible / By any chance
하루,One day (K)
이틀,Two days (K)
일일,One day (S)
이일,Two days (S)
삼일,Three days (S)
한해,One year (K)
두해,Two years (K)
일년,One year (S)
이년,Two years (S)
한달,One month (K)
두달,Two months (K)
일개월,One month (S)
이개월,Two months (S)
주머니,Pocket
삼일만에 십에 돌아왔어요!,(I) came back home three days after
한달만에 학교에 갔어요!,(I) went to school a month after
오냔만에 다시 영어 공부를 시작했어요!,(I) started studying English again after 5 years
이 집 떡볶이가 진짜 맛있어요!,The dokbokki here is really delicious!
유리창에 달팽이가 있어요,There is a snail on the window
... 라도,At least ... (Noun Suffix)
영화라도 볼까?,Shall (we) at least watch (some) movies?
너는 함버거까지 사왔어?,Did you even buy (and brought) hamburgers?
서울까지 꼭 갈거에요?,Are (you) even going (all the way) to Seoul?
감기,Cold (disease)
감기 때문에 모리가 아파요,I have a headache because I have a cold
어제는 피곤해서 일직 잤어요,(I) went to bed early yesterday because I was tired
온종일 설사를 했어요,I had diarrhea the whole day
어디 아파요?,Are you feeling sick?
저는 내일 아침에 올지도 몰라요,I might come tomorrow morning
감기 일지도 몰라요,It might be a cold
올굴색이 안 좋아!,(You) don't look so well!
내일 민경이 만날지도 몰라요!,I might meet Mingyeong tomorrow!
글세,Well / Let me think ...
방금,Just now / A few minutes ago
찾아요,To look for (Present Tense)
오기 전에 전화해요!,Call (me) before (you) come!
영화 보기 전에 팝콘 사자!,Let's buy popcorn before watching the movie!
친구 만나기 전에 선물 살 거야!,(I) will buy a present before meeting (my) friend!
미국 가기 전에 연락해!,Contact (me) before going to the US!
시험 본 다임에 술 마셨어,"After taking the test, (we) drank alcohol"
술 마신 다음에 노래방 가자!,"After drinking alcohol, let's go to Karaoke!"
오른쪽,Right side
왼쪽,Left side
건물,Building
아파트,Apartment
설명해요,To explain (Present Tense)
배달,Delivery (service)
거기,There
찾아,To search / look for (Present Tense)
식당,Restaurant
버튼,Button
한국어 정말 쉬워요!,Korean is really easy!
읽기 쉬워요,(It is) easy to read
찾기 힘들어요,(It is) difficult to find
수업 이해하기 어려워요,The class is hard to understand
이해해요,To understand (Present Tense)
날씨,Weather
건강해요,To be healthy (Present Tense)
지내요,To spend time / To get along (Present Tense)
생겨요,To get / to acquire / to come into existence (Present Tense)
달리기 시작했어요,(I) started running
어제부터 추워지기 시작했어요,It started to get cold since yesterday
저는 오늘 일하기 시작했어요,I started working today
내일부터 바빠지기 시작할 거예요,(I) will start getting busy from tomorrow
방해해요,To bother / To disturb (Present Tense)
귀찮게 해요,To annoy someone (Present Tense)
시험,Test / Exam
말 시켜요,To talk to / To speak to (Present Tense)
거짓말,Lie
거짓말해요,To lie (Present Tense)
벌써,Already
킅나요,To be over (Present Tense)
영화는 벌써 킅났어요!,The movie is already over!
방해하지 마세요!,Stop bothering (me)!
질투해요,To be jealous (Present Tense)
잘못,Error / Mistake
잘못해요,To make a mistake (Present Tense)
이 책은 읽으면 읽을 수록 재미있어요!,"The more (I) read this book, the more interesting it is"
술은 마시면 마실 수록 마시고 싶어요,"The more (I) drink alcohol, the more I want to drink"
무리해요,To overwork (Present Tense)
들어가요,To enter (Present Tense)
들어와요,To come in (Present Tense)
요즘,These days / Nowadays
얼음,Ice
자꾸 거짓말을 하니까 친구 없어요!,(You) don't have friends because you constantly tell lies
밥 먹기 전에 손 씻어!,Wash your hands before eating!
영화를 보고," 옷을 사고, 김치를 먹을 거예요,(I) am going to watch a movie, buy clothes and eat kimchi"
먹으면서 영화 봐요,(I) eat while watching a movie
회식,Company dinner
회식해요,To go on a company dinner (Present Tense)
신나요,To be exciting (Present Tense)
가격,Price
종류,Type / Kind / Sort
중에서,Amongst / Between / Out of
나는 수학이 제일 싫어해요!,I hate Mathematics the most!
이 호수는 세계에서 가장 거요!,This lake is the biggest in the world!
이 학생들 중에서 주환 제일 예뻐요,Johnny is the most beautiful of the students
나는 머리가 좋아해요,I am smart
너는 선생님만큼 예뻐어,You are as pretty as Seonsaengnim
이것은 그것만큼 좋아지 않아요,This one is not as good as that one
나랑 비교해요,To compare with me (Present Tense)
저를 제 친구하고 비교하지 마세요!,Don't compare me to my friends!
저는 못 했어요,I couldn't do it
나도 몰라!,I don't know either!
어제 잡채라는 한국 음식을 먹었어요,(I) ate a Korean dish called Japchae yesterday
월요일에 민수라는 사람이 전화했어,Someone called Minsu called on Monday
결석,Absence
일주일에 몇 번 술 마셔요?,How many times a week do (you) drink alcohol?
내일 비가 안 오면 갈 거야,"If it doesn't rain tomorrow, (we) will go"
빨리 오지 않으면 혼자 갈거야!,"If (you) don't come quickly, (I) will go by myself"
만약 전화 안 해면 먼저 밥 먹거!,"If (I) don't call you, (you) eat first!"
회식,Company dinner
신나다,Exciting
저는 맥주 6병까지 마실 수 있어요,I can drink up to 6 bottles of beer
내일 병원에 갈 수도 있어요,(I) might go to the hospital tomorrow
저는 내일 시간이 없을 수도 있어요,I might not have time tomorrow
억,100 million
복권,Lottery
소주를 마시든지 물을 마시든지 해!,Drink either soju or water!
일을 하든지 공부를 하든지," 열심히 해!,Weather (you) work or study, so your best!"
결혼을 하거나 말거나," 나는 다 궨찮아요!,Whether you get married or not, I'm all ok with it!"
중요해요,To be important (Present Tense)
잡아요,To catch (Present Tense)
잡혀요,To be caught (Present Tense)
경험은 정말 중요해요,Experience is really important
미안해! 목소리가 안 들려!,I'm sorry! (I) can't hear (you)!
보여요?,Can (you) see it? (Is it seen?)
도둑이 잡혔어요,The thief got caught
어려 보여요?,Do (I) look young?
어려요,To be young (Present Tense)
화장,Make up / Cosmetics
써요,To put on (Present Tense)
이것 너무 비싸 보여요!,This looks very expensive!
너는 학생 같아 보여요,You look like a student
살 쪄요,To gain weight (Present Tense)
생각해요,To think (Present Tense)
맞아요!,That's correct!
간식,Snack
요새 / 요즘,These days
당분간,For the time being / For now
오는 것 같아요!,(I) think it's coming! (Present Tense opinion)
예쁜 것 같아요!,(I) think it's pretty! (Present Tense opinion)
도착한 것 같아요!,(I) think (we) have arrived! (Past Tense opinion)
살 것 같아요!,(I) think (I) will buy it! (Future Tense opinion)
요기 없는 것 같아요!,(I) think it is not here! (Present Tense opinion)
당분간,For the time being / For now
오는 것 같아요!,(I) think it's coming! (Present Tense opinion)
예쁜 것 같아요!,(I) think it's pretty! (Present Tense opinion)
도착한 것 같아요!,(I) think (we) have arrived! (Past Tense opinion)
살 것 같아요!,(I) think (I) will buy it! (Future Tense opinion)
요기 없는 것 같아요!,(I) think it is not here! (Present Tense opinion)
저저럼 할 수 있어요?,Can (you) do it like me?
아빠저럼 말하지 마!,Don't talk like my father!
어려요,To be young (Present Tense)
유치원,Kindergarten
비가 오지만 우산은 필요 없어요,"Even though it's raining, (we) don't need an umbrella"
알지만 말 안 할 거예요,"(I) won't tell you, even though I know"
가져 와요!,Bring it over!
왜 이렇게 많이 필요해요?,Why do (you) need so many?
주환가 그렇게 멋있어요?,Is Johnny that cool?
이것 진짜 멋있다!,This is really cool!
많이 배웠어요!,(I) learned a lot!
왜 이렇게 늦었어요?,Why are (you) so late?
회사 그만두고 싶어,(I) want to quit my job
내 나이에,At my age
니 나이에,At your age
회사는 어디 있어요?,Where is the company located?
이 문제 너무 어려워요!,This problem is too difficult!
도서관을 찾고 있어요,(I) am looking for the library
혼자는 못 해요,(I) can't do it alone
요즘 날씨 어때요?,How is the weather these days?
요즘 경제가 어려워요,The economy is bad nowadays
늦으면 안 돼요!,(You) shouldn't be late!
오래,For a long time
잊어버려요,To forget (Present Tense)
밖에 있는 동안 전화가 왔어요,I received a phone call while I was outside
밥 먹는 동안 책 보지 마세요,Don't read books while you are eating
불,Fire / Light
대답해요,To answer / To reply (Present Tense)
질문,Question
들어가요,To enter (Present Tense)
피해요,To avoid / To move out of the way (Present Tense)
대답해 주새요!,Please answer me!
이러지 마새요!,Don't do this to me!
차가 와요; 피하새요!,A car is coming; please move out of the way!
지금은 전화를 받지도 하지도 못 해요,Right now (I) can't either make nor receive phone calls
좋지도 나쁘지도 안아요,It's neither good nor bad
만저요,To touch (Present Tense)
처음,The first time
그러지 마새요!,Don't do that!
그거 거짓말이야!,That's a lie!
택시에 탄 다음에 전화 주새요!,Call me after you ride the taxi!
경찰서에 가야 해요!,(I) have to go to the police station!
이 영화를 본 적이 없어요!,(I) have never seen this movie!
수업에 늦은 적이 없어요!,(I) have never been late for class!
너를 만난 적이 있어요,(I) have met you before
누나,Older sister / older GF
어울려요,To look good on someone / To go well with / To suit (Present Tense)
기분 좋아해요,To be happy / To feel good
나는 너랑 사귀고 싶어,I want to date you / go out with you
나 꼭 나이들어 보여요?,Do I certainly look old?
부모님,Parents
무슨 므라마 봐?,What kind of drama are (you) watching?
날씨가 좋아서 내 기분도 너무 좋아!,I'm feeling very happy because of the good weather!
어제는 피곤해서 일찍 잤어요,I went to bed early yesterday because I was tired
어려워 보여요,(It) looks difficult
너무 비싸 보여요,(It) looks very expensive
같이 사진 찍일래?,Do (you) want to take a picture together?
사진 찍자!,Let's take a photo!
맥주보다 소주가 싸요,Soju is cheaper than beer
만원 짜리 시계,"A 10,000 won watch"
한 시간 짜리 수업,A one-hour class
십일 짜리 여행 코스,A ten-day travel course
먹일거,Something to eat
바삭바삭하다,To be crispy (verb)
나 먹을거 사줘!,Buy me something to eat!
오분만 주새요!,Please give me only 5 minutes!
나는 함버거 한 개만 먹을게,I will eat only one hamburger
목도리,Scarf
장갑,Gloves
작다,To be small (V)
물감,Paint
먼저 나가새요!,Please go outside first!
이것 밖에 없어요?,Is this all there is?
오늘은 저 밖에 안 왔어요,I'm the only one who came today
저는 지금 1000원 밖에 없어요,"I only have 1,000 won right now"
이렇게 밖에 못 해요?,Is this your best?
먼저 냄비에 좀 간장을 넣어요!,First add some soybean sauce/paste in a pot
그럼 고기랑 마닐하고 참기름을 볶아요!,"Then stir-fry meat, garlic and sesame oil"
치킨하고 맥주 주세요,Please give me chicken and beer
생일날 뭐 했어?,What did (you) do on (your) birthday?
설탕 좀 주세요,Please give me some sugar
참기름을 넣고 볶아 주세요,Please add some sesame oil and stir-fry it
물건,Object / Thing
상자,Box
가지러 오다,To come to pick up (V)
보내다,To send (V)
받다,To receive (V)
택배,Home delivery service
라면 먹으러 가자!,Let's go to eat ramen!
뭐 하러 가요?,What are you going there for?
영화 보러 갈래?,Do (you) want to go and watch a movie?
오늘 우리 집에 자러 오세요,Please come to spend the night (sleep) at mine
짧다,To be short (V)
길다,To be long (V)
자르다,To cut (V)
후회,Regret
눈물,Tear (from crying)
머리를 짧게 잘라주세요,"Please, cut (my) hair short"
이상할 정도로 싸요,It's so cheap it's strange
지금 함버거가 싫을 정도로 많이 먹었어요,I ate so many hamburgers I hate them now
기다리지 말고," 먼저 가세요!,Don't wait (for me), please go first!"
이거 분명히 실수 일 거예요!,This must be a mistake!
분명히 한국에 10년 살았을 거예요,(He) must have lived in Korea for 10 years
약하다,To be weak (V)
자주,Frequently / Often
공휴일,Public holiday
보고 싶다,To miss (someone) (V)
오늘이다,To be today (V)
오늘 몇 시까지 일해요?,Until what time do (you) work today?
우리 반은 너무 시끄러워요!,My class is too noisy!
이 답이 맞아!,This answer is correct!
우리 엄마 아빠가 너무 보고 싶어요,I miss my parents very much
오늘 일요일이잖아요,You know today is Sunday
일요일이잖아요?,Can't you see it's Sunday?
제가 어제 말했잖아요,You know I told you yesterday
저 지금 운전하고 있잖아요?,Can't (you) see I'm driving now?
감기약,Cold medicine
저는 하루에 책을 두권 읽어요,I read two books a day
미국에거 가고 싶지 않아요,I don't want to go to the US
한 번에 한 명씩,One person at a time
일 년에 두 번씩,Twice a year
조금씩 마셔요,Drink little by little
하루에 몇 시간씩 자요?,How many hours a day do (you) sleep?
열 받다,To get upset (V)
잃어버리다,To lose (V)
최악,The worst
빌려주다,To lend (V)
네 역할은 뭐예요?,What is your role?
저도 잘 몰라요,I don't know much (about it) either
지우다,To erase (V)
네 번호를 지워 버렸어요,(I) erased your number by accident
이것 비밀이에요," 근데 말해 버렸어요,This is a secret, but I told it by mistake"
미현이가 알아 버렸어요,Mihyeon found out (she wasn't supposed to)
쏘다,To treat (someone to a meal) (V)
춤,Dance
저녁,Dinner
기다리지 말고," 먼저 가세요!,Don't wait (for me), please go first!"
이거 분명히 실수 일 거예요!,This must be a mistake!
분명히 한국에 10년 살았을 거예요,(He) must have lived in Korea for 10 years
우리는 내일 만나기로 했아요,We have arranged/planned to meet tomorrow
친구랑 먹기로 했어요,(I) have plans to eat with a friend
영화 보러 가기로 했어요,(I) have arranged/planned to go to watch a movie
그렇게 하기로 했어요,(I) decided/planned to do that
박물관,Museum
조용하다,To be quiet (V)
떠들다,To be noisy (V)
표,Ticket
데,Place
좋은 데 알아요!,(I) know a good place!
여기 있지 말고," 빨리 가세요!,Don't stay here, and please go quickly!"
공부하지 말고," 영화를 보자!,Let's not study, and watch a movie instead!"
출장가다,To go on a business trip (V)
후회하다,To regret (V)
도와줘서 고마워요,Thanks for helping (me)
제가 가게 됬어요,It happens that I'm going
그렇게 됬어요,It just happened
만나게 될 거예요,(We) will meet each other
기분,Feeling/Mood
막히다,To be blocked/clogged (V)
바꾸다,To change (V)
바뀌다,To be changed (V)
계획,Plan / Schedule
출발하다,To leave / To depart (V)
다르다,To be different (V)
날씨에 따라 달라요,"Depending on the weather, it is different"
레벨에 따라서 문제가 바뀌어요,Questions change depending on the level
오늘 기분 어때요?,How are (you) feeling today?
우리는 영화 보러 가요,We are going to watch a movie
그냥 밥을 먹자!,Let's just eat!
예매하다,To buy tickets in advance (V)
저는 서울에 살아요,I live in Seoul
말할 걸 그랬어요,(I) should have told (him)
지하철 타고 올 걸 그랬어요,(I) should have taken the subway to come
집들이,Housewarming party
미리,In advance / beforehand
한국 아파트," 1동, 415호,Hanguk Apartments, Building 1, Flat Number 415"
어제 우리 형이랑 컴퓨터 게임 했어요,(I) played yesterday a computer game with (my) older brother
집이 몇 호예요?,What's (your) flat number?
몇 동에 살아요?,In what apartment building (you) live in?
집이 몇 호예요?,What's (your) flat number?
몇 동에 살아요?,In what apartment building (you) live in?
오기 만 하면 돼,All (you) have to do is to come
책을 한 번 읽기 만 하면 돼,All (you) have to do is to read the book just once
나랑 말하기 만 하면 돼,All (you) have to do is tell me
벌써 다 썼어요,(I) spent it all already
누구 한테 줄 거예요?,Who are (you) giving (it) to?
이사하다,"To move places (V) (flat, house)"
이사 가다,To move out of a place (V)
이사 오다,To move in a place (V)
이쪽,This way / Over here
저쪽,That way / Over there
풀,Glue
가위,Scissors
은행 옆에 김밥 집이 있어요,There is a Kimbab restaurant next to the bank
주인,Owner
저쪽에 은행이 있어요,There is a bank over there
안 보이는데요,"Well, (I) don't see it"
없는데요,"Well, there isn't any"
어제 했는데요,"(I) did it yesterday, (why?)"
전부,All / Whole
전부 다 다시 할 거예요?,Are (you) going to do it all again?
이 김치 건부 살 수 있나요?,Can (I) buy all of this kimchi?
이 식당은 뭐가 맛있나요?,What is delicious in this restaurant?
닫다,To close / To shut (V)
예약,Reservation
식사,Meal
창문 닫아 주세요,Please close the window
예약 하셨어요?,Have (you) made a reservation?
몇 분 오셨어요?,How many people have come?
저녁 드셨어요?,Have (you) had dinner?
오늘 몇 시까지 일해요?,What time do (you) work until today?
이거 얼마인가요?,How much is this?
뭐가 제일 좋은가요?,Which one is the best?
평일,Weekday / During the week
서늘하다,To be cool (V)
밥이 없으면 못 살아요,(I) can't live without rice
똑똑하다,To be smart (V)
새상,World / Universe
수학,Mathematics
이해하다,To understand (V)
몇 번째 ...?,How many times ...?
... 새상에서 제일 좋아해요,(I) like ... the most in the world
보면 볼수록 ...,"The more (I) see it, the more ..."
자주 오면 올수록," 좋아요,The more often (you) come, the better"
생각하면 생각할수록 ...,The more (I) think about it ...